"fact","region","phi","crop","median","mean","min","max"
"MET","South America",3,"W",0.17816775,0.169420464210654,0.070309685,0.24005385
"MET","South America",4,"M",0.17232558,0.172076570440977,0.057621126,0.27540719
"MET","South America",4,"R",0.18193667,0.180035966099174,0.11929151,0.24307784
"MET","South America",4,"W",0.17816775,0.169420464210654,0.070309685,0.24005385
"MET","South-Eastern Asia",2,"M",0.307901685,0.32298915013245,0.24345485,0.47329102
"MET","South-Eastern Asia",2,"R",0.32285779,0.32596041990228,0.25501432,0.43322892
"MET","South-Eastern Asia",2,"W",0.33742316,0.350911758390805,0.26403674,0.46778607
"MET","South-Eastern Asia",3,"M",0.14818191,0.157421985231788,0.11659473,0.23476777
"MET","South-Eastern Asia",3,"R",0.15203433,0.154242060944625,0.12055307,0.20905825
"MET","South-Eastern Asia",3,"W",0.16620473,0.166717119655172,0.12240934,0.20488695
"MET","South-Eastern Asia",4,"M",0.14818191,0.157421985231788,0.11659473,0.23476777
"MET","South-Eastern Asia",4,"R",0.15203433,0.154242060944625,0.12055307,0.20905825
"MET","South-Eastern Asia",4,"W",0.16620473,0.166717119655172,0.12240934,0.20488695
"MET","Southern Africa",2,"M",0.405876205,0.402770839384615,0.2664349,0.50314742
"MET","Southern Africa",2,"R",0.433190215,0.419222639571429,0.28124937,0.56075579
"MET","Southern Africa",2,"W",0.4539299,0.438073677582418,0.26544795,0.52951241
"MET","Southern Africa",3,"M",0.19180363,0.190468091,0.12964385,0.24606947
"MET","Southern Africa",3,"R",0.19237629,0.194856308,0.14188006,0.2582276
"MET","Southern Africa",3,"W",0.19895237,0.192185519010989,0.11339736,0.2352033
"MET","Southern Africa",4,"M",0.19180363,0.190468091,0.12964385,0.24606947
"MET","Southern Africa",4,"R",0.19237629,0.194856308,0.14188006,0.2582276
"MET","Southern Africa",4,"W",0.19895237,0.192185519010989,0.11339736,0.2352033
"MET","Southern Asia",2,"M",0.37444976,0.391798146570048,0.24164733,0.87978535
"MET","Southern Asia",2,"R",0.37791095,0.411387562526316,0.26517862,1.0316707
"MET","Southern Asia",2,"W",0.42809577,0.446976245384615,0.27815702,0.89867806
"MET","Southern Asia",3,"M",0.17940445,0.186837878792271,0.11388425,0.46274974
"MET","Southern Asia",3,"R",0.183018375,0.196967184868421,0.12203782,0.53303884
"MET","Southern Asia",3,"W",0.18430483,0.189920808435013,0.13117659,0.34821976
"MET","Southern Asia",4,"M",0.17940445,0.186837878792271,0.11388425,0.46274974
"MET","Southern Asia",4,"R",0.183018375,0.196967184868421,0.12203782,0.53303884
"MET","Southern Asia",4,"W",0.18430483,0.189920808435013,0.13117659,0.34821976
"MET","Southern Europe",2,"M",0.56181618,0.549642136176471,0.31108087,0.64316185
"MET","Southern Europe",2,"R",0.59882417,0.588452105882353,0.36234552,0.70304677
"MET","Southern Europe",2,"W",0.450237285,0.449451619117647,0.26819306,0.53556
"MET","Southern Europe",3,"M",0.248428465,0.242593593529412,0.14582483,0.28311321
"MET","Southern Europe",3,"R",0.25251049,0.245340009607843,0.15588994,0.28480704
"MET","Southern Europe",3,"W",0.209459565,0.207713972647059,0.13330078,0.24665526
"MET","Southern Europe",4,"M",0.248428465,0.242593593529412,0.14582483,0.28311321
"MET","Southern Europe",4,"R",0.25251049,0.245340009607843,0.15588994,0.28480704
"MET","Southern Europe",4,"W",0.209459565,0.207713972647059,0.13330078,0.24665526
"MET","Western Africa",2,"M",0.40413152,0.40943427374359,0.2970683,0.50365751
