"","region","crop","phi","fact","value"
"334","South America","R",2,"IPM",0.143718967297686
"335","South America","R",2,"MET",0.180035966099174
"336","South America","R",2,"POP",-0.0301042058612909
"337","South America","R",3,"IPM",0.156667272965158
"338","South America","R",3,"MET",0.180035966099174
"339","South America","R",3,"POP",0.276239464812446
"340","South America","R",4,"IPM",0.135962708718676
"341","South America","R",4,"MET",0.180035966099174
"342","South America","R",4,"POP",1.46247011495175
"343","South America","W",2,"IPM",0.159774146750605
"344","South America","W",2,"MET",0.169420464210654
"345","South America","W",2,"POP",-0.00793656668263826
"346","South America","W",3,"IPM",0.153955396229056
"347","South America","W",3,"MET",0.169420464210654
"348","South America","W",3,"POP",-0.0127081644638935
"349","South America","W",4,"IPM",0.1699342425723
"350","South America","W",4,"MET",0.169420464210654
"351","South America","W",4,"POP",0.10237154552563
"352","South-Eastern Asia","M",2,"IPM",0.142367905758278
"353","South-Eastern Asia","M",2,"MET",0.157421985231788
"354","South-Eastern Asia","M",2,"POP",-0.0129938940513609
"355","South-Eastern Asia","M",3,"IPM",0.163854240523899
"356","South-Eastern Asia","M",3,"MET",0.157421985231788
"357","South-Eastern Asia","M",3,"POP",3.90038254052668
"358","South-Eastern Asia","M",4,"IPM",0.21741927804476
"359","South-Eastern Asia","M",4,"MET",0.157421985231788
"360","South-Eastern Asia","M",4,"POP",10.3133068742722
"361","South-Eastern Asia","R",2,"IPM",0.141855429918567
"362","South-Eastern Asia","R",2,"MET",0.154242060944625
"363","South-Eastern Asia","R",2,"POP",-0.0107390119778827
"364","South-Eastern Asia","R",3,"IPM",0.133954409582085
"365","South-Eastern Asia","R",3,"MET",0.154242060944625
"366","South-Eastern Asia","R",3,"POP",-0.0175822543163518
"367","South-Eastern Asia","R",4,"IPM",0.122643805707166
"368","South-Eastern Asia","R",4,"MET",0.154242060944625
"369","South-Eastern Asia","R",4,"POP",-0.0273776357229088
"370","South-Eastern Asia","W",2,"IPM",0.170958940574713
"371","South-Eastern Asia","W",2,"MET",0.166717119655172
"372","South-Eastern Asia","W",2,"POP",0.00357761354011494
"373","South-Eastern Asia","W",3,"IPM",0.175033638390805
"374","South-Eastern Asia","W",3,"MET",0.166717119655172
"375","South-Eastern Asia","W",3,"POP",0.00701513605490805
"376","South-Eastern Asia","W",4,"IPM",0.181142243448276
"377","South-Eastern Asia","W",4,"MET",0.166717119655172
"378","South-Eastern Asia","W",4,"POP",0.0121467605034054
"379","Southern Africa","M",2,"IPM",0.250067568710059
"380","Southern Africa","M",2,"MET",0.190468091
"381","Southern Africa","M",2,"POP",1.10150147320292
"382","Southern Africa","M",3,"IPM",0.310756578804734
"383","Southern Africa","M",3,"MET",0.190468091
"384","Southern Africa","M",3,"POP",5.70547020296815
"385","Southern Africa","M",4,"IPM",0.357068515745562
"386","Southern Africa","M",4,"MET",0.190468091
"387","Southern Africa","M",4,"POP",12.1187605186113
"388","Southern Africa","R",2,"IPM",0.186546484285714
"389","Southern Africa","R",2,"MET",0.194856308
"390","Southern Africa","R",2,"POP",-0.00684034980085714
"391","Southern Africa","R",3,"IPM",0.176274383357143
"392","Southern Africa","R",3,"MET",0.194856308
"393","Southern Africa","R",3,"POP",-0.0153206646952857
"394","Southern Africa","R",4,"IPM",0.162571559942857
"395","Southern Africa","R",4,"MET",0.194856308
"396","Southern Africa","R",4,"POP",-0.0266402615532857
"397","Southern Africa","W",2,"IPM",0.194925994065934
"398","Southern Africa","W",2,"MET",0.192185519010989
"399","Southern Africa","W",2,"POP",0.0023270081946044
"400","Southern Africa","W",3,"IPM",0.19899863032967
"401","Southern Africa","W",3,"MET",0.192185519010989
"402","Southern Africa","W",3,"POP",0.00575122641373626
"403","Southern Africa","W",4,"IPM",0.204252462637363
"404","Southern Africa","W",4,"MET",0.192185519010989
"405","Southern Africa","W",4,"POP",0.0101694380333516
"406","Southern Asia","M",2,"IPM",0.235646124501955
"407","Southern Asia","M",2,"MET",0.186837878792271
"408","Southern Asia","M",2,"POP",0.0674441969335072
"409","Southern Asia","M",3,"IPM",0.25743864981838
"410","Southern Asia","M",3,"MET",0.186837878792271
"411","Southern Asia","M",3,"POP",0.0858044948479952
"412","Southern Asia","M",4,"IPM",0.540810099354881
"413","Southern Asia","M",4,"MET",0.186837878792271
"414","Southern Asia","M",4,"POP",10.0547715974542
"415","Southern Asia","R",2,"IPM",0.227992349447368
"416","Southern Asia","R",2,"MET",0.196967184868421
"417","Southern Asia","R",2,"POP",0.0255177220922082
"418","Southern Asia","R",3,"IPM",0.247757550921053
"419","Southern Asia","R",3,"MET",0.196967184868421
"420","Southern Asia","R",3,"POP",0.0418826780585263
"421","Southern Asia","R",4,"IPM",0.40953665801462
"422","Southern Asia","R",4,"MET",0.196967184868421
"423","Southern Asia","R",4,"POP",7.66343242379284
"424","Southern Asia","W",2,"IPM",0.216211673607427
"425","Southern Asia","W",2,"MET",0.189920808435013
"426","Southern Asia","W",2,"POP",0.0215172446393448
"427","Southern Asia","W",3,"IPM",0.27307763370216
"428","Southern Asia","W",3,"MET",0.189920808435013
"429","Southern Asia","W",3,"POP",0.481153201134907
"430","Southern Asia","W",4,"IPM",0.535288985543767
"431","Southern Asia","W",4,"MET",0.189920808435013
"432","Southern Asia","W",4,"POP",4.41311905355593
"433","Southern Europe","M",2,"IPM",0.255941313627451
"434","Southern Europe","M",2,"MET",0.242593593529412
"435","Southern Europe","M",2,"POP",0.0108953419205196
"436","Southern Europe","M",3,"IPM",0.25277918245098
"437","Southern Europe","M",3,"MET",0.242593593529412
"438","Southern Europe","M",3,"POP",0.00860035666990196
"439","Southern Europe","M",4,"IPM",0.246504754313725
"440","Southern Europe","M",4,"MET",0.242593593529412
"441","Southern Europe","M",4,"POP",0.0039916294547549
"442","Southern Europe","R",2,"IPM",0.253746779019608
"443","Southern Europe","R",2,"MET",0.245340009607843
"444","Southern Europe","R",2,"POP",0.00719110363962745
"445","Southern Europe","R",3,"IPM",0.242157197254902
"446","Southern Europe","R",3,"MET",0.245340009607843
"447","Southern Europe","R",3,"POP",-0.00138841789509804
"448","Southern Europe","R",4,"IPM",0.16727358145098
"449","Southern Europe","R",4,"MET",0.245340009607843
"450","Southern Europe","R",4,"POP",-0.0595139232180392
"451","Southern Europe","W",2,"IPM",0.249969024019608
"452","Southern Europe","W",2,"MET",0.207713972647059
"453","Southern Europe","W",2,"POP",0.0345822491735294
"454","Southern Europe","W",3,"IPM",0.287071406372549
"455","Southern Europe","W",3,"MET",0.207713972647059
"456","Southern Europe","W",3,"POP",0.0649208281039216
"457","Southern Europe","W",4,"IPM",0.377807369411765
"458","Southern Europe","W",4,"MET",0.207713972647059
"459","Southern Europe","W",4,"POP",0.139025939343137
"460","Western Africa","M",2,"IPM",0.201079156717949
"461","Western Africa","M",2,"MET",0.193042615230769
"462","Western Africa","M",2,"POP",0.00677046614712821
